srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool
405,2013-02-05 03:19:22,5,98,,,219,7145,2,4.5,1,2.4,0.0016,4.2,29,114.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
405,2013-02-05 03:19:22,5,98,,,219,8289,4,4.5,1,4.41,0.0339,5.95,2,326.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,5.0,0.0,0.0,5.0,,,,0.0,0.0,5.0,,,,,,,0.0,0.0,5.0,0,,0
405,2013-02-05 03:19:22,5,98,,,219,14041,4,4.5,1,0.0,0.0005,5.48,7,699.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,5.0,0.0,0.0,5.0,,,,0.0,0.0,5.0,,,,,,,0.0,0.0,5.0,0,,0
405,2013-02-05 03:19:22,5,98,,,219,15151,3,4.5,1,2.08,0.0047,4.8,31,129.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
405,2013-02-05 03:19:22,5,98,,,219,19472,3,4.5,1,0.69,0.0003,4.97,21,119.0,0,18774,7,40,1,1,2,0,,,0,,,,-1.0,0.0,16.0,-1.0,0.0,25.0,,,,-1.0,0.0,16.0,,,,,,,-1.0,0.0,16.0,0,,0
405,2013-02-05 03:19:22,5,98,,,219,20742,3,4.0,1,1.95,0.0005,4.63,28,120.0,0,18774,7,40,1,1,2,0,,,0,,,,-1.0,0.0,7.0,0.0,0.0,11.0,,,,-1.0,0.0,7.0,,,,,,,-1.0,0.0,7.0,0,,0
405,2013-02-05 03:19:22,5,98,,,219,22900,3,4.5,1,1.61,0.0001,5.19,19,139.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,24.0,0.0,0.0,24.0,,,,0.0,0.0,49.0,,,,,,,0.0,0.0,24.0,0,,0
405,2013-02-05 03:19:22,5,98,,,219,26127,3,4.5,1,1.39,0.001,4.97,18,129.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,17.0,0.0,0.0,17.0,,,,0.0,0.0,72.0,,,,,,,0.0,0.0,17.0,0,,0
405,2013-02-05 03:19:22,5,98,,,219,27202,3,4.5,1,1.39,0.0001,5.15,35,189.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
405,2013-02-05 03:19:22,5,98,,,219,28285,4,4.0,1,2.2,0.0019,5.61,9,199.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,1.0,,,,,,,,0.0,0.0,,0,,0
405,2013-02-05 03:19:22,5,98,,,219,46418,3,4.5,1,2.2,0.0005,4.66,25,159.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,1.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
405,2013-02-05 03:19:22,5,98,,,219,48889,3,4.5,1,2.3,0.003,4.66,26,119.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,1.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
405,2013-02-05 03:19:22,5,98,,,219,51180,4,4.5,1,0.0,0.0003,5.16,24,189.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
405,2013-02-05 03:19:22,5,98,,,219,53387,3,4.5,1,0.69,0.0007,4.72,30,139.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,1.0,,,,,,1.0,,,,,,,,0.0,0.0,,0,,0
405,2013-02-05 03:19:22,5,98,,,219,55479,3,4.5,1,2.77,0.0014,4.76,34,130.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
405,2013-02-05 03:19:22,5,98,,,219,65642,4,4.5,1,2.4,0.0028,5.46,15,199.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,84.0,,,,,,,0.0,0.0,,0,,0
405,2013-02-05 03:19:22,5,98,,,219,69878,4,4.5,1,1.61,0.0001,5.03,27,209.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
405,2013-02-05 03:19:22,5,98,,,219,71504,4,4.0,1,1.61,0.0022,5.39,13,189.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,84.0,,,,,,,0.0,0.0,,0,,0
405,2013-02-05 03:19:22,5,98,,,219,73705,4,4.5,1,0.69,0.0008,4.96,37,289.0,0,18774,7,40,1,1,2,0,,,0,,,,-1.0,0.0,10.0,-1.0,0.0,10.0,,,,1.0,1.0,124.0,,,,,,,-1.0,0.0,10.0,0,,0
405,2013-02-05 03:19:22,5,98,,,219,75447,4,4.5,1,1.95,0.0002,4.95,32,189.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,1.0,11.0,,,,,1.0,,,,,,,,0.0,0.0,10.0,0,,0
405,2013-02-05 03:19:22,5,98,,,219,77004,3,4.5,1,2.48,0.0015,4.8,16,139.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
405,2013-02-05 03:19:22,5,98,,,219,86912,3,4.5,1,1.79,0.0022,5.26,14,154.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,1.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
405,2013-02-05 03:19:22,5,98,,,219,87480,3,4.5,1,2.4,0.0003,4.81,36,120.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,0.0,,,,,1.0,0.0,8.0,,,,,,,0.0,0.0,,0,,0
405,2013-02-05 03:19:22,5,98,,,219,88553,3,4.5,1,4.54,0.0986,5.52,4,249.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
405,2013-02-05 03:19:22,5,98,,,219,89334,4,4.5,1,2.08,0.0005,5.12,22,209.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
405,2013-02-05 03:19:22,5,98,,,219,93384,4,4.5,1,4.76,0.1379,5.6,3,269.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
405,2013-02-05 03:19:22,5,98,,,219,96039,3,4.5,1,1.61,0.0097,5.0,10,129.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
405,2013-02-05 03:19:22,5,98,,,219,101503,4,4.0,1,4.75,0.1906,5.66,1,298.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,1,2425.32,1
405,2013-02-05 03:19:22,5,98,,,219,107686,3,4.5,1,1.39,,4.63,33,149.0,0,18774,7,40,1,1,2,0,,,0,,,,0.0,0.0,,0.0,1.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
